txn_id,ts,account,amount,channel
T00000,2024-07-18T17:59:00,A0635,6331.64,branch
T00001,2024-07-03T11:01:00,A0118,30458.69,app
T00002,2024-05-09T18:54:00,A0041,967.22,app
T00003,2024-05-03T19:26:00,A0535,8332.54,web
T00004,2024-05-10T10:34:00,A0581,12487.25,atm
T00005,2024-05-13T11:55:00,A0629,3853.13,app
T00006,2024-09-25T15:22:00,A0461,9300.07,web
T00007,2024-06-08T10:34:00,A0014,30766.42,atm
T00008,2024-06-23T18:49:00,A0789,19012.93,atm
T00009,2024-07-19T14:54:00,A0167,30786.29,branch
T00010,2024-02-12T15:48:00,A0642,3724.21,web
T00011,2024-03-17T17:35:00,A0301,27034.60,branch
T00012,2024-01-04T15:40:00,A0111,19911.83,web
T00013,2024-01-27T15:09:00,A0069,28810.89,atm
T00014,2024-11-03T10:06:00,A0037,24167.94,atm
T00015,2024-09-04T14:04:00,A0222,13058.00,atm
T00016,2024-12-23T11:22:00,A0219,23373.80,atm
T00017,2024-05-21T17:21:00,A0023,23060.43,branch
T00018,2024-11-14T11:58:00,A0005,41900.04,branch
T00019,2024-10-07T15:22:00,A0554,41963.12,app
T00020,2024-05-02T18:46:00,A0687,3210.78,atm
T00021,2024-02-28T18:01:00,A0130,13273.15,app
T00022,2024-11-19T16:13:00,A0271,37192.47,atm
T00023,2024-04-11T20:42:00,A0599,18151.99,web
T00024,2024-03-25T19:06:00,A0180,13739.15,atm
T00025,2024-11-03T14:06:00,A0018,27993.24,web
T00026,2024-12-20T15:20:00,A0664,23194.98,app
T00027,2024-08-08T17:13:00,A0268,25996.60,atm
T00028,2024-06-10T11:42:00,A0426,34347.19,app
T00029,2024-08-11T20:45:00,A0580,9516.80,branch
T00030,2024-09-07T18:16:00,A0004,26157.05,branch
T00031,2024-01-19T15:37:00,A0788,41442.13,branch
T00032,2024-03-07T17:10:00,A0739,11022.87,web
T00033,2024-04-07T09:47:00,A0698,1849.25,web
T00034,2024-05-02T11:27:00,A0266,3048.88,branch
T00035,2024-10-05T20:59:00,A0371,4623.73,web
T00036,2024-06-02T11:01:00,A0340,31983.01,app
T00037,2024-09-11T19:27:00,A0141,33345.20,web
T00038,2024-02-21T09:02:00,A0589,30221.97,web
T00039,2024-09-06T18:29:00,A0149,6796.22,app
T00040,2024-04-23T19:42:00,A0270,14219.92,web
T00041,2024-04-03T17:34:00,A0749,33882.37,branch
T00042,2024-08-10T14:33:00,A0056,38197.15,atm
T00043,2024-05-28T17:02:00,A0542,21774.09,app
T00044,2024-03-13T11:31:00,A0463,23003.05,branch
T00045,2024-02-19T15:08:00,A0251,20312.44,branch
T00046,2024-12-25T16:06:00,A0492,1422.97,branch
T00047,2024-05-18T15:16:00,A0650,6776.09,branch
T00048,2024-06-22T17:08:00,A0369,25688.59,web
T00049,2024-02-02T19:02:00,A0704,21605.27,app
T00050,2024-12-03T15:49:00,A0109,11205.99,app
T00051,2024-11-26T17:40:00,A0343,14748.57,web
T00052,2024-03-13T20:52:00,A0144,17976.97,atm
T00053,2024-03-23T20:33:00,A0001,35555.15,atm
T00054,2024-08-17T15:58:00,A0033,41280.18,web
T00055,2024-01-26T14:38:00,A0490,10958.25,branch
T00056,2024-07-17T20:07:00,A0722,20105.04,atm
T00057,2024-05-02T17:38:00,A0645,41610.47,atm
T00058,2024-10-18T20:40:00,A0587,28593.61,atm
T00059,2024-02-17T16:04:00,A0515,9888.54,app
T00060,2024-09-26T09:16:00,A0634,38630.88,branch
T00061,2024-10-24T10:53:00,A0410,37408.31,app
T00062,2024-06-27T11:41:00,A0592,38837.35,atm
T00063,2024-06-17T20:38:00,A0322,12559.16,atm
T00064,2024-11-09T14:56:00,A0768,27235.27,branch
T00065,2024-12-11T20:31:00,A0129,15815.31,branch
T00066,2024-07-20T14:16:00,A0448,993.63,web
T00067,2024-05-06T14:45:00,A0496,38490.68,atm
T00068,2024-11-10T15:13:00,A0015,20736.39,app
T00069,2024-07-16T18:03:00,A0231,17875.33,app
T00070,2024-10-11T10:33:00,A0075,17964.77,web
T00071,2024-07-26T18:39:00,A0190,24021.66,web
T00072,2024-06-08T15:23:00,A0183,6449.90,app
T00073,2024-01-01T20:42:00,A0241,20379.92,app
T00074,2024-09-13T15:54:00,A0765,28026.16,branch
T00075,2024-08-27T17:23:00,A0541,40181.92,app
T00076,2024-05-13T14:17:00,A0093,9582.18,app
T00077,2024-12-09T13:31:00,A0603,19586.45,app
T00078,2024-04-28T10:09:00,A0053,37018.25,atm
T00079,2024-01-02T14:23:00,A0651,16880.59,app
T00080,2024-09-08T20:18:00,A0121,19882.93,app
T00081,2024-01-14T15:10:00,A0662,39519.63,app
T00082,2024-02-27T13:15:00,A0171,29134.67,app
T00083,2024-07-19T14:31:00,A0380,14600.83,branch
T00084,2024-10-08T10:33:00,A0790,38501.62,app
T00085,2024-05-25T15:21:00,A0290,38203.39,branch
T00086,2024-10-15T11:36:00,A0456,21683.37,branch
T00087,2024-12-02T13:29:00,A0605,41895.16,web
T00088,2024-06-18T15:18:00,A0366,25839.76,atm
T00089,2024-09-17T14:42:00,A0359,23644.33,atm
T00090,2024-10-26T18:04:00,A0214,35345.68,web
T00091,2024-02-06T15:03:00,A0122,20934.38,app
T00092,2024-09-07T13:32:00,A0434,25841.86,atm
T00093,2024-01-19T16:05:00,A0250,9319.51,web
T00094,2024-04-05T17:26:00,A0376,28496.28,web
T00095,2024-06-24T20:35:00,A0139,17130.38,web
T00096,2024-06-04T09:33:00,A0361,21428.19,web
T00097,2024-07-12T10:44:00,A0128,10541.75,branch
T00098,2024-04-23T13:37:00,A0710,11873.26,app
T00099,2024-01-05T19:16:00,A0513,5657.24,web
T00100,2024-06-23T14:58:00,A0040,11178.45,app
T00101,2024-11-06T17:37:00,A0033,40105.03,app
T00102,2024-11-14T13:51:00,A0439,29113.94,app
T00103,2024-02-14T18:59:00,A0209,30448.26,app
T00104,2024-12-23T16:51:00,A0308,22121.92,atm
T00105,2024-09-01T19:19:00,A0264,23781.26,app
T00106,2024-07-05T14:24:00,A0001,23896.44,web
T00107,2024-07-10T10:14:00,A0673,4540.44,app
T00108,2024-12-04T19:39:00,A0105,14247.59,web
T00109,2024-08-12T19:51:00,A0326,1790.13,atm
T00110,2024-12-13T19:55:00,A0545,1536.59,web
T00111,2024-10-07T20:48:00,A0025,10897.23,app
T00112,2024-02-15T15:41:00,A0667,30390.37,atm
T00113,2024-02-24T20:17:00,A0271,9122.73,branch
T00114,2024-09-14T17:19:00,A0217,30306.86,app
T00115,2024-10-25T09:18:00,A0376,16805.08,atm
T00116,2024-01-28T14:12:00,A0200,21595.05,web
T00117,2024-01-12T16:28:00,A0325,40252.19,web
T00118,2024-07-12T16:46:00,A0119,23744.07,atm
T00119,2024-07-07T16:45:00,A0729,7957.75,app
T00120,2024-10-13T09:28:00,A0139,30975.59,branch
T00121,2024-05-04T14:18:00,A0396,30938.23,web
T00122,2024-01-07T19:13:00,A0034,16758.99,web
T00123,2024-01-23T14:18:00,A0445,32274.53,web
T00124,2024-04-09T11:09:00,A0476,28716.83,web
T00125,2024-06-09T09:31:00,A0256,41116.66,branch
T00126,2024-07-26T19:28:00,A0508,38726.37,app
T00127,2024-01-06T14:35:00,A0394,9163.98,app
T00128,2024-06-10T09:29:00,A0298,30661.42,web
T00129,2024-10-20T14:30:00,A0720,37067.65,app
T00130,2024-09-28T19:07:00,A0594,24523.96,web
T00131,2024-06-26T17:15:00,A0355,12282.65,web
T00132,2024-04-13T10:54:00,A0036,40173.13,branch
T00133,2024-08-24T10:29:00,A0553,27991.93,app
T00134,2024-02-15T19:39:00,A0250,1966.98,atm
T00135,2024-08-10T09:27:00,A0026,23947.53,atm
T00136,2024-01-27T15:36:00,A0620,40042.38,web
T00137,2024-05-05T19:44:00,A0701,11695.61,atm
T00138,2024-06-12T19:26:00,A0628,19990.39,web
T00139,2024-05-09T18:56:00,A0498,6420.46,atm
T00140,2024-02-09T20:24:00,A0294,12691.44,app
T00141,2024-03-20T18:52:00,A0609,27259.39,atm
T00142,2024-06-05T14:08:00,A0259,22469.63,atm
T00143,2024-02-21T14:00:00,A0160,21577.44,atm
T00144,2024-04-13T11:43:00,A0311,1792.91,branch
T00145,2024-01-28T10:37:00,A0618,36999.25,branch
T00146,2024-05-20T11:30:00,A0679,15508.81,atm
T00147,2024-12-09T16:08:00,A0137,24779.65,branch
T00148,2024-12-23T10:07:00,A0417,33154.38,atm
